EMPRESA,Empresa,Prefixo,Litros
21,"São Paulo",0063091,286.88
21,"São Paulo",0063092,283.17
21,"São Paulo",0063093,318.651
21,"São Paulo",0063094,298.09
21,"São Paulo",0063095,290
21,"São Paulo",0063096,309.571
21,"São Paulo",0063097,301.611
21,"São Paulo",0063098,296
21,"São Paulo",0063099,296.19
21,"São Paulo",0063100,350.911
21,"São Paulo",0063101,327.56
21,"São Paulo",0063102,337.92
21,"São Paulo",0063103,324
21,"São Paulo",0063104,346.93
21,"São Paulo",0063105,295.891
21,"São Paulo",0063106,310.651
21,"São Paulo",0063107,302.25
21,"São Paulo",0063108,268.04
21,"São Paulo",0063109,238.43
21,"São Paulo",0063110,271.7
21,"São Paulo",0063111,316.611
21,"São Paulo",0063112,282.709
21,"São Paulo",0063113,241.54
21,"São Paulo",0063114,231.629
21,"São Paulo",0063115,253.689
21,"São Paulo",0063116,251.189
21,"São Paulo",0063117,268.43
21,"São Paulo",0063118,279.199
21,"São Paulo",0063119,222.6
21,"São Paulo",0063120,249.68
21,"São Paulo",0063121,237.11
21,"São Paulo",0063122,207.2
21,"São Paulo",0063123,302.699
21,"São Paulo",0063135,232.669
21,"São Paulo",0063164,246.439
21,"São Paulo",0063165,226.43
21,"São Paulo",0063166,226.909
21,"São Paulo",0063167,269.23
21,"São Paulo",0063168,243.08
21,"São Paulo",0063169,223.71
21,"São Paulo",0063170,214.659
21,"São Paulo",0063171,217.759
21,"São Paulo",0063172,245.599
21,"São Paulo",0063173,264.46
21,"São Paulo",0063174,262.31
21,"São Paulo",0063175,249.53
21,"São Paulo",0063176,226.29
21,"São Paulo",0063178,253.05
21,"São Paulo",0063179,214.73
21,"São Paulo",0063180,222.83
21,"São Paulo",0063181,298.85
21,"São Paulo",0063182,221.349
21,"São Paulo",0063183,254.55
21,"São Paulo",0063184,253.379
21,"São Paulo",0063185,246
21,"São Paulo",0063186,338.329
21,"São Paulo",0063187,212.879
21,"São Paulo",0063188,261.87
21,"São Paulo",0063189,209.159
21,"São Paulo",0063190,235.83
21,"São Paulo",0063191,269.36
21,"São Paulo",0063192,233.9
21,"São Paulo",0063193,229.629
21,"São Paulo",0063194,271.339
21,"São Paulo",0063195,289.199
21,"São Paulo",0063196,293.68
21,"São Paulo",0063197,200.68
21,"São Paulo",0063198,331.22
21,"São Paulo",0063199,409.949
21,"São Paulo",0063200,230.599
21,"São Paulo",0063201,297.089
21,"São Paulo",0063202,229.439
21,"São Paulo",0063203,284.279
21,"São Paulo",0063204,215.71
21,"São Paulo",0063211,218.9
21,"São Paulo",0063212,199.92
21,"São Paulo",0063215,198.01
21,"São Paulo",0063216,231.3
21,"São Paulo",0063217,274.34
21,"São Paulo",0063218,255.129
21,"São Paulo",0063219,229.05
21,"São Paulo",0063220,188.18
21,"São Paulo",0063221,210.969
21,"São Paulo",0063222,207.12
21,"São Paulo",0063223,185.879
21,"São Paulo",0063224,198.659
21,"São Paulo",0063226,214.02
21,"São Paulo",0063227,197.849
21,"São Paulo",0063228,197.86
21,"São Paulo",0063229,184.039
21,"São Paulo",0063230,216.599
21,"São Paulo",0063232,182.24
21,"São Paulo",0063233,190.37
21,"São Paulo",0063234,205.729
21,"São Paulo",0063235,192.599
21,"São Paulo",0063238,202.789
21,"São Paulo",0063240,192.699
21,"São Paulo",0063241,192.819
21,"São Paulo",0063242,256.79
21,"São Paulo",0063243,178.289
21,"São Paulo",0063244,224.78
21,"São Paulo",0063246,204.53
21,"São Paulo",0063247,202.83
21,"São Paulo",0063248,190.069
21,"São Paulo",0063251,280.72
21,"São Paulo",0063255,255.06
21,"São Paulo",0063258,199.85
21,"São Paulo",0063259,232.99
21,"São Paulo",0063260,285.089
21,"São Paulo",0063269,197.33
21,"São Paulo",0063274,211.86
21,"São Paulo",0063276,230
21,"São Paulo",0063278,246.199
21,"São Paulo",0063279,240.949
21,"São Paulo",0063280,240.289
21,"São Paulo",0063281,229.77
21,"São Paulo",0063282,245.89
21,"São Paulo",0063283,206.789
21,"São Paulo",0063284,232.159
21,"São Paulo",0063285,261.32
21,"São Paulo",0063286,251.28
21,"São Paulo",0063287,229.259
21,"São Paulo",0063288,217.18
21,"São Paulo",0063290,185.33
21,"São Paulo",0063292,209.479
21,"São Paulo",0063297,226.889
21,"São Paulo",0063298,254.599
21,"São Paulo",0063305,451.75
21,"São Paulo",0063306,339.99
21,"São Paulo",0063307,368.819
21,"São Paulo",0063308,363.55
21,"São Paulo",0063310,326.149
21,"São Paulo",0063311,302.149
21,"São Paulo",0063312,342.399
21,"São Paulo",0063313,435.279
21,"São Paulo",0063322,234.83
21,"São Paulo",0063324,206.719
21,"São Paulo",0063325,215.55
21,"São Paulo",0063326,203.379
21,"São Paulo",0063327,208.199
21,"São Paulo",0063328,282.25
21,"São Paulo",0063329,206.43
21,"São Paulo",0063330,207.84
21,"São Paulo",0063331,249.13
21,"São Paulo",0063332,202.719
21,"São Paulo",0063333,218.08
21,"São Paulo",0063334,224.32
21,"São Paulo",0063335,208.669
21,"São Paulo",0063336,254.539
21,"São Paulo",0063337,207.77
21,"São Paulo",0063340,224.61
21,"São Paulo",0063341,262.189
21,"São Paulo",0063342,210.31
21,"São Paulo",0063343,197.21
21,"São Paulo",0063347,274.25
21,"São Paulo",0063348,205
21,"São Paulo",0063349,221.379
21,"São Paulo",0063350,219.11
21,"São Paulo",0063351,185.629
21,"São Paulo",0063352,197.4
21,"São Paulo",0063353,223.05
21,"São Paulo",0063354,252.95
21,"São Paulo",0063355,265.52
21,"São Paulo",0063356,238.93
21,"São Paulo",0063357,218.06
21,"São Paulo",0063359,206.78
21,"São Paulo",0063360,196.169
21,"São Paulo",0063361,205.11
21,"São Paulo",0063362,189.05
21,"São Paulo",0063363,188.74
21,"São Paulo",0063365,217.93
21,"São Paulo",0063366,223.759
21,"São Paulo",0063367,203.68
21,"São Paulo",0063368,239.36
21,"São Paulo",0063369,262.66
21,"São Paulo",0063370,226.689
21,"São Paulo",0063371,239.979
21,"São Paulo",0063372,191.7
21,"São Paulo",0063373,296.259
21,"São Paulo",0063374,201.96
21,"São Paulo",0063375,178.39
21,"São Paulo",0063376,180.409
21,"São Paulo",0063377,177.93
21,"São Paulo",0063378,245.26
21,"São Paulo",0063379,205.539
21,"São Paulo",0063380,202.909
21,"São Paulo",0063381,247.069
21,"São Paulo",0063382,238.22
21,"São Paulo",0063432,298.66
21,"São Paulo",0063446,242.379
21,"São Paulo",0063447,204.099
21,"São Paulo",0063448,197.569
21,"São Paulo",0063449,202.659
21,"São Paulo",0063450,203.05
21,"São Paulo",0063471,241
21,"São Paulo",0063478,284.699
21,"São Paulo",0063479,251.52
21,"São Paulo",0063500,250.86
21,"São Paulo",0063501,300.43
21,"São Paulo",0063502,343.92
21,"São Paulo",0063503,377.889
21,"São Paulo",0063504,377
21,"São Paulo",0063505,337.06
21,"São Paulo",0063506,389.84
21,"São Paulo",0063507,294.009
21,"São Paulo",0063522,325.42
21,"São Paulo",0063523,334.73
21,"São Paulo",0063524,349.589
21,"São Paulo",0063525,350.149
21,"São Paulo",0063526,378.589
21,"São Paulo",0063527,317
21,"São Paulo",0063528,318.949
21,"São Paulo",0063529,358.79
21,"São Paulo",0063530,290.439
21,"São Paulo",0063531,306.819
21,"São Paulo",0063532,292.12
21,"São Paulo",0063533,365.41
21,"São Paulo",0063534,352.75
21,"São Paulo",0063535,300.56
21,"São Paulo",0063536,339.839
21,"São Paulo",0063537,265.25
21,"São Paulo",0063538,312.379
21,"São Paulo",0063539,379.24
21,"São Paulo",0063540,301.649
21,"São Paulo",0063541,329.439
21,"São Paulo",0063542,315.01
21,"São Paulo",0063543,355.101
21,"São Paulo",0063544,304.52
21,"São Paulo",0063545,291.13
21,"São Paulo",0063546,295.6
21,"São Paulo",0063547,300.061
21,"São Paulo",0063548,322.993
21,"São Paulo",0063549,314.241
21,"São Paulo",0063550,310.232
21,"São Paulo",0063551,344
21,"São Paulo",0063552,301
21,"São Paulo",0063553,293.19
21,"São Paulo",0063554,414.87
21,"São Paulo",0063555,317.56
21,"São Paulo",0063556,303
21,"São Paulo",0063557,360.01
21,"São Paulo",0063558,319.441
21,"São Paulo",0063559,317.591
21,"São Paulo",0063560,305.331
21,"São Paulo",0063561,325
21,"São Paulo",0063562,322.321
21,"São Paulo",0063563,299.281
21,"São Paulo",0063564,323.65
21,"São Paulo",0063565,327.17
21,"São Paulo",0063566,296.78
21,"São Paulo",0063567,288.531
21,"São Paulo",0063568,318.96
21,"São Paulo",0063578,259.18
21,"São Paulo",0063583,204.34
21,"São Paulo",0063584,211.71
21,"São Paulo",0063585,231.409
21,"São Paulo",0063586,206.96
21,"São Paulo",0063587,207.5
21,"São Paulo",0063588,221.36
21,"São Paulo",0063589,217.659
21,"São Paulo",0063590,297.529
21,"São Paulo",0063591,215.21
21,"São Paulo",0063592,227.74
21,"São Paulo",0063593,212.82
21,"São Paulo",0063594,228.389
21,"São Paulo",0063595,275.8
21,"São Paulo",0063596,202.979
21,"São Paulo",0063597,176.36
21,"São Paulo",0063598,289.399
21,"São Paulo",0063599,218.09
21,"São Paulo",0063600,291.11
21,"São Paulo",0063601,189.9
21,"São Paulo",0063628,210.909
21,"São Paulo",0063629,244.5
21,"São Paulo",0063630,261.66
21,"São Paulo",0063631,229.379
21,"São Paulo",0063632,265.06
21,"São Paulo",0063633,223.21
21,"São Paulo",0063634,202.76
21,"São Paulo",0063635,236.75
21,"São Paulo",0063636,244.39
21,"São Paulo",0063637,228.59
21,"São Paulo",0063638,223.09
21,"São Paulo",0063639,222.699
21,"São Paulo",0063640,281.959
21,"São Paulo",0063641,214.17
21,"São Paulo",0063642,231.49
21,"São Paulo",0063643,197.169
21,"São Paulo",0063644,202.55
21,"São Paulo",0063645,197.689
21,"São Paulo",0063646,212.21
21,"São Paulo",0063647,262.769
21,"São Paulo",0063648,274.38
21,"São Paulo",0063649,260.579
21,"São Paulo",0063650,220.15
21,"São Paulo",0063651,209.599
21,"São Paulo",0063652,212.699
21,"São Paulo",0063653,222.21
21,"São Paulo",0063654,191.34
21,"São Paulo",0063655,211.06
21,"São Paulo",0063656,210.02
21,"São Paulo",0063657,196.99
21,"São Paulo",0063658,198.659
21,"São Paulo",0063659,247.84
21,"São Paulo",0063660,198.55
21,"São Paulo",0063661,204.65
21,"São Paulo",0063662,290.08
21,"São Paulo",0063663,178.599
21,"São Paulo",0063664,214.569
21,"São Paulo",0063665,198.969
21,"São Paulo",0063666,211.629
21,"São Paulo",0063667,240.08
21,"São Paulo",0063668,196.82
21,"São Paulo",0063669,187.979
21,"São Paulo",0063670,207.48
21,"São Paulo",0063671,193.93
21,"São Paulo",0063672,209.689
21,"São Paulo",0063673,196.719
21,"São Paulo",0063674,242.71
21,"São Paulo",0063675,260.779
21,"São Paulo",0063676,226.8
21,"São Paulo",0063677,188.87
21,"São Paulo",0063678,236.889
21,"São Paulo",0063679,214.139
21,"São Paulo",0063680,221.129
21,"São Paulo",0063681,195.9
21,"São Paulo",0063682,188.419
21,"São Paulo",0063683,300
21,"São Paulo",0063684,245.949
21,"São Paulo",0063685,231.3
21,"São Paulo",0063686,219.8
21,"São Paulo",0063687,215.9
21,"São Paulo",0063688,217.3
21,"São Paulo",0063689,275.819
21,"São Paulo",0063708,376.19
21,"São Paulo",0063709,676.32
21,"São Paulo",0063710,768.47
21,"São Paulo",0063711,304.9
21,"São Paulo",0063712,329.63
21,"São Paulo",0064124,244.599
21,"São Paulo",0064125,247.9
21,"São Paulo",0064126,269.399
21,"São Paulo",0064127,248
21,"São Paulo",0064128,235.9
21,"São Paulo",0064129,280.1
21,"São Paulo",0064130,228.4
21,"São Paulo",0064131,246.969
21,"São Paulo",0064132,248.199
21,"São Paulo",0064143,273.3
21,"São Paulo",0064144,227.76
21,"São Paulo",0064145,260.399
21,"São Paulo",0064146,252.9
21,"São Paulo",0064147,264.8
21,"São Paulo",0064148,254.8
21,"São Paulo",0064149,240.599
21,"São Paulo",0064150,244
21,"São Paulo",0064151,240.15
21,"São Paulo",0064152,226.31
21,"São Paulo",0064153,237.5
21,"São Paulo",0064154,257.579
21,"São Paulo",0064155,264
21,"São Paulo",0064156,223.9
21,"São Paulo",0064157,243.35
21,"São Paulo",0064158,275.3
21,"São Paulo",0064159,271.5
21,"São Paulo",0064160,253.409
21,"São Paulo",0064161,249.099
21,"São Paulo",0064162,243.3
21,"São Paulo",0064163,267.8
21,"São Paulo",0064213,213.099
21,"São Paulo",0064214,184.849
21,"São Paulo",0064231,258.329
21,"São Paulo",0064236,218
21,"São Paulo",0064237,245.3
21,"São Paulo",0064249,208.3
21,"São Paulo",0064253,289.5
21,"São Paulo",0064261,242.29
21,"São Paulo",0064262,287.5
21,"São Paulo",0064263,273.699
21,"São Paulo",0064264,245.08
21,"São Paulo",0064265,156.9
21,"São Paulo",0064266,270.3
21,"São Paulo",0064267,240.469
21,"São Paulo",0064268,255.099
21,"São Paulo",0064270,194.629
