HAS_DATA;PREFIXO;EMPRESA;HAS_QTD_LITROS;Tratando_Recalcula;Verifica_QTD_LITROS;HAS_ENCERRANTE_DEPOIS;HAS_ENCERRANTE_ANTES;Recalcula_QTD_LITROS;TANQUE;TER_DATA_ULTIMA_COMUNIC;TER_CODIGO;TER_IDENTIFICACAO_EMPRESA;BOM_CODIGO;CAR_CODIGO_ABASTECEDOR;VEI_CODIGO;VEI_OBSERVACAO;USU_CODIGO;HAS_ODOMETRO;KM_ANT;KM_PERCO
28/01/2025;0064416;21;74;45;ERRO;29944766;29944721;45;500;03/07/2025 07:59;109;10;43;null;2247;EOC-6991;null;421302;421188;114
28/01/2025;0064423;21;146;39;ERRO;29941431;29941392;39;500;03/07/2025 07:59;109;10;43;2456;2255;EEE-9560;58;411614;411389;225
29/01/2025;0063353;21;0;134;ERRO;21625123;21624988;134;600;03/07/2025 07:59;2;3;27;4124;2091;ERA-4308;110;458663;415704;42959
29/01/2025;0064467;21;161;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2424;EXV-1B28;112;265960;265736;224
29/01/2025;0063640;21;120;0;ERRO;null;null;null;500;03/07/2025 07:59;2;3;27;4124;2479;FRO-0028;110;286383;286234;149
29/01/2025;0064130;21;135;78;ERRO;29952692;29952614;78;300;03/07/2025 07:59;109;10;43;null;1711;GJR-8712;null;598331;598154;177
29/01/2025;0063372;21;0;185;ERRO;21625470;21625285;185;600;03/07/2025 07:59;2;3;27;4124;2207;EXR-2049;110;125477;360255;-234778
29/01/2025;0063370;21;134;0;ERRO;null;null;null;500;03/07/2025 08:00;3;2;52;4124;2201;EOE-7155;110;458663;458469;194
29/01/2025;0064400;21;209;143;ERRO;29952038;29951895;143;500;03/07/2025 07:59;109;10;43;2456;2234;EPA-3284;58;363542;363200;342
29/01/2025;0063666;21;0;120;ERRO;21624988;21624868;120;500;03/07/2025 07:59;2;3;27;4124;2553;GHK-3B22;110;286383;243286;43097
30/01/2025;0063036;21;255;182;ERRO;20189905;20189723;182;600;03/07/2025 08:00;3;2;9;null;1588;FQS-7282;null;750910;750665;245
30/01/2025;0063039;21;272;156;ERRO;25283909;25283753;156;600;03/07/2025 08:00;3;2;8;null;1591;FXQ-4905;null;799791;799530;261
30/01/2025;0063005;21;210;116;ERRO;20190021;20189905;116;500;03/07/2025 08:00;3;2;9;null;1372;FNF-4660;null;817002;816760;242
30/01/2025;0006404;21;600;0;ERRO;null;null;null;615;03/07/2025 08:00;3;2;52;null;1141;EZL-0178;null;452606;452503;103
30/01/2025;0063053;21;252;189;ERRO;20189088;20188900;189;600;03/07/2025 08:00;3;2;9;null;1629;GAR-9880;null;679750;679508;242
30/01/2025;0064154;21;156;111;ERRO;29960773;29960662;111;300;03/07/2025 07:59;109;10;43;null;1736;FJN-2929;null;540419;540215;204
