Prefixo;Tipo_Frota;Empresa;Tanque
63012;ARTICULADO SP;Sao Paulo;500
63013;ARTICULADO SP;Sao Paulo;600
63014;ARTICULADO SP;Sao Paulo;600
63015;ARTICULADO SP;Sao Paulo;600
63017;ARTICULADO SP;Sao Paulo;600
63018;ARTICULADO SP;Sao Paulo;600
63019;ARTICULADO SP;Sao Paulo;500
63020;ARTICULADO SP;Sao Paulo;500
63021;ARTICULADO SP;Sao Paulo;600
63022;ARTICULADO SP;Sao Paulo;600
63023;ARTICULADO SP;Sao Paulo;600
63024;ARTICULADO SP;Sao Paulo;600
63025;ARTICULADO SP;Sao Paulo;600
63026;ARTICULADO SP;Sao Paulo;600
63027;ARTICULADO SP;Sao Paulo;500
63028;ARTICULADO SP;Sao Paulo;600
63029;ARTICULADO SP;Sao Paulo;600
63030;ARTICULADO SP;Sao Paulo;600
63031;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63032;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63033;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63034;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63035;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63036;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63037;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63038;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63039;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63040;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63041;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63042;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63043;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63044;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63045;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63046;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63047;ARTICULADO SP;Sao Paulo;600
63048;ARTICULADO SP;Sao Paulo;600
63049;ARTICULADO SP;Sao Paulo;600
63050;ARTICULADO SP;Sao Paulo;600
63051;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63052;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63053;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63054;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63055;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63056;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63057;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63058;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63059;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63060;SUPER ARTICULADO C/AR SP;Sao Paulo;600
63061;SUPER ARTICULADO SP;Sao Paulo;600
63062;SUPER ARTICULADO SP;Sao Paulo;600
63063;SUPER ARTICULADO SP;Sao Paulo;600
63064;SUPER ARTICULADO SP;Sao Paulo;600
63065;SUPER ARTICULADO SP;Sao Paulo;600
63066;SUPER ARTICULADO SP;Sao Paulo;600
63067;SUPER ARTICULADO SP;Sao Paulo;600
63069;SUPER ARTICULADO SP;Sao Paulo;600
63070;SUPER ARTICULADO SP;Sao Paulo;600
63071;SUPER ARTICULADO SP;Sao Paulo;600
63072;SUPER ARTICULADO SP;Sao Paulo;600
63074;SUPER ARTICULADO SP;Sao Paulo;600
63075;SUPER ARTICULADO SP;Sao Paulo;600
63076;SUPER ARTICULADO SP;Sao Paulo;600
63077;SUPER ARTICULADO SP;Sao Paulo;600
63080;SUPER ARTICULADO SP;Sao Paulo;600
63081;ARTICULADO C/ AR - SP;Sao Paulo;500
63082;ARTICULADO C/ AR - SP;Sao Paulo;500
63083;ARTICULADO C/ AR - SP;Sao Paulo;500
63084;ARTICULADO C/ AR - SP;Sao Paulo;500
63085;ARTICULADO C/ AR - SP;Sao Paulo;500
63086;ARTICULADO C/ AR - SP;Sao Paulo;500
63087;ARTICULADO C/ AR - SP;Sao Paulo;500
63088;ARTICULADO C/ AR - SP;Sao Paulo;500
63089;ARTICULADO C/ AR - SP;Sao Paulo;500
63090;ARTICULADO C/ AR - SP;Sao Paulo;500
63091;ARTICULADO C/ AR - SP;Sao Paulo;500
63092;ARTICULADO C/ AR - SP;Sao Paulo;500
63093;ARTICULADO C/ AR - SP;Sao Paulo;500
63094;ARTICULADO C/ AR - SP;Sao Paulo;500
63095;ARTICULADO C/ AR - SP;Sao Paulo;500
63096;ARTICULADO C/ AR - SP;Sao Paulo;500
63097;ARTICULADO C/ AR - SP;Sao Paulo;500
63098;ARTICULADO C/ AR - SP;Sao Paulo;500
63099;ARTICULADO C/ AR - SP;Sao Paulo;500
63100;ARTICULADO C/ AR - SP;Sao Paulo;500
63101;ARTICULADO C/ AR - SP;Sao Paulo;500
63102;ARTICULADO C/ AR - SP;Sao Paulo;500
63103;ARTICULADO C/ AR - SP;Sao Paulo;500
63104;ARTICULADO C/ AR - SP;Sao Paulo;500
63105;ARTICULADO C/ AR - SP;Sao Paulo;500
63106;ARTICULADO C/ AR - SP;Sao Paulo;500
63107;ARTICULADO C/ AR - SP;Sao Paulo;600
63108;ARTICULADO C/ AR - SP;Sao Paulo;600
63109;ARTICULADO C/ AR - SP;Sao Paulo;600
63110;ARTICULADO C/ AR - SP;Sao Paulo;600
63111;ARTICULADO C/ AR - SP;Sao Paulo;600
63112;ARTICULADO C/ AR - SP;Sao Paulo;600
63113;ARTICULADO C/ AR - SP;Sao Paulo;600
63114;ARTICULADO C/ AR - SP;Sao Paulo;600
63115;ARTICULADO C/ AR - SP;Sao Paulo;600
63116;ARTICULADO SP;Sao Paulo;600
63117;ARTICULADO SP;Sao Paulo;600
63118;ARTICULADO SP;Sao Paulo;600
63119;ARTICULADO SP;Sao Paulo;600
63120;ARTICULADO SP;Sao Paulo;600
63121;ARTICULADO SP;Sao Paulo;600
63122;ARTICULADO SP;Sao Paulo;600
63123;ARTICULADO SP;Sao Paulo;500
63135;ARTICULADO SP;Sao Paulo;300
63164;PADRON 15m C/AR - SP;Sao Paulo;500
63165;PADRON 15m C/AR - SP;Sao Paulo;500
63166;PADRON 15m C/AR - SP;Sao Paulo;500
63167;PADRON 15m C/AR - SP;Sao Paulo;500
63168;PADRON 15m C/AR - SP;Sao Paulo;500
63169;PADRON 15m C/AR - SP;Sao Paulo;500
63170;PADRON 15m C/AR - SP;Sao Paulo;500
63171;PADRON 15m C/AR - SP;Sao Paulo;500
63172;PADRON 15m C/AR - SP;Sao Paulo;500
63173;PADRON 15m C/AR - SP;Sao Paulo;500
63174;PADRON 15m C/AR - SP;Sao Paulo;500
63175;PADRON 15m C/AR - SP;Sao Paulo;500
63176;PADRON 15m C/AR - SP;Sao Paulo;500
63178;PADRON 15m C/AR - SP;Sao Paulo;500
